,name,dim
320,transformer/decoder_layer_32/multi_head_attention/value/w,"[6144, 1024]"
321,transformer/decoder_layer_32/rms_norm/scale,[6144]
322,transformer/decoder_layer_32/rms_norm_1/scale,[6144]
323,transformer/decoder_layer_32/rms_norm_2/scale,[6144]
324,transformer/decoder_layer_32/rms_norm_3/scale,[6144]
325,transformer/decoder_layer_32/router/w,"[6144, 8]"
326,transformer/decoder_layer_33/moe/linear/w,"[8, 6144, 32768]"
327,transformer/decoder_layer_33/moe/linear_1/w,"[8, 32768, 6144]"
328,transformer/decoder_layer_33/moe/linear_v/w,"[8, 6144, 32768]"
329,transformer/decoder_layer_33/multi_head_attention/key/w,"[6144, 1024]"
330,transformer/decoder_layer_33/multi_head_attention/linear/w,"[6144, 6144]"
331,transformer/decoder_layer_33/multi_head_attention/query/w,"[6144, 6144]"
332,transformer/decoder_layer_33/multi_head_attention/value/w,"[6144, 1024]"
333,transformer/decoder_layer_33/rms_norm/scale,[6144]
334,transformer/decoder_layer_33/rms_norm_1/scale,[6144]
335,transformer/decoder_layer_33/rms_norm_2/scale,[6144]
336,transformer/decoder_layer_33/rms_norm_3/scale,[6144]
337,transformer/decoder_layer_33/router/w,"[6144, 8]"
338,transformer/decoder_layer_34/moe/linear/w,"[8, 6144, 32768]"
339,transformer/decoder_layer_34/moe/linear_1/w,"[8, 32768, 6144]"
340,transformer/decoder_layer_34/moe/linear_v/w,"[8, 6144, 32768]"
341,transformer/decoder_layer_34/multi_head_attention/key/w,"[6144, 1024]"
342,transformer/decoder_layer_34/multi_head_attention/linear/w,"[6144, 6144]"
343,transformer/decoder_layer_34/multi_head_attention/query/w,"[6144, 6144]"
344,transformer/decoder_layer_34/multi_head_attention/value/w,"[6144, 1024]"
345,transformer/decoder_layer_34/rms_norm/scale,[6144]
346,transformer/decoder_layer_34/rms_norm_1/scale,[6144]
347,transformer/decoder_layer_34/rms_norm_2/scale,[6144]
348,transformer/decoder_layer_34/rms_norm_3/scale,[6144]
349,transformer/decoder_layer_34/router/w,"[6144, 8]"
